work_id,state,district,constituency,house,mp_name,work_title,category,implementing_agency,vendor_id,vendor_name,recommendation_date,sanction_date,estimated_cost_inr,sor_benchmark_cost_inr,expenditure_incurred_inr,completion_pct,days_stalled,work_status,latitude,longitude,photo_phash,photo_exif_lat,photo_exif_lon,declared_category_at_completion,milestone_count,anomaly_label
WRK-ODI-00407,Odisha,Khordha,Khordha,Lok Sabha,Sunil Gupta,Construction of Health Wellness Centre Municipal Ward 18,Health Infrastructure,District Rural Development Agency,VEN-ODI-004,Vindhya Builders & Co,2024-10-27,2024-11-11,2101964,2425191,1536642,75,168,In Progress,21.328397,85.192052,44c5d85ce9b2e998,21.327808,85.193963,Health Infrastructure,2,COMPLIANT
WRK-KER-00284,Kerala,Kozhikode,Kozhikode,Lok Sabha,Girish Joshi,Village Electrification Works Gram Sabha Zone 2,Electrification,Public Works Division,VEN-KER-005,Sri Balaji Developers,2024-01-04,2024-01-31,1928732,2165814,0,0,957,Stalled,10.928567,76.375938,8aa6c7e8f581d06f,10.92911,76.376194,Electrification,0,COMPLIANT
WRK-UTT-00574,Uttar Pradesh,Varanasi,Varanasi,Lok Sabha,Manoj Tripathi,Construction of Storm Water Drainage Panchayat East,Drainage,Zilla Parishad Works Department,VEN-UTT-001,Nilgiri Developers,2023-05-16,2023-05-29,2426801,2584394,0,0,1204,Stalled,26.778928,80.547168,e529be14a2fa31c4,26.777825,80.546075,Drainage,0,COMPLIANT
WRK-MIZ-00377,Mizoram,Lunglei,Lunglei,Lok Sabha,Naveen Deshmukh,Construction of Health Wellness Centre Ward 9,Health Infrastructure,Municipal Corporation Engineering Wing,VEN-MIZ-001,Kashi Builders & Co,2024-09-09,2024-09-30,456015,516269,266294,60,286,Stalled,22.797199,92.830746,7003054781360353,22.797792,92.831565,Health Infrastructure,2,COMPLIANT
WRK-TAM-00496,Tamil Nadu,Chennai,Chennai,Lok Sabha,Vikram Nair,Nala Deepening and Widening New Township Sector 3,Drainage,Public Works Division,VEN-TAM-004,Cauvery Electricals,2024-03-14,2024-03-26,1780478,1613131,704005,40,542,Stalled,11.285453,78.424568,6da174023be1cc84,11.285253,78.424802,Drainage,2,COMPLIANT
WRK-BIH-00073,Bihar,Patna,Patna,Lok Sabha,Rekha Singh,Nala Deepening and Widening Sector 7,Drainage,District Rural Development Agency,VEN-BIH-004,Kashi Builders & Co,2024-07-08,2024-07-28,922788,960222,547494,60,312,Stalled,25.150175,84.981066,bd39f6c1f55b84b5,25.148385,84.979696,Drainage,2,COMPLIANT
WRK-BIH-00094,Bihar,Muzaffarpur,Muzaffarpur,Lok Sabha,Rekha Singh,Construction of CC Road at Sector 7,Roads & Connectivity,Zilla Parishad Works Department,VEN-BIH-003,Konkan Electricals,2024-02-12,2024-03-09,2259383,1970272,0,0,919,Stalled,24.725397,85.43062,62a38410ae806a64,24.724541,85.432069,Roads & Connectivity,0,COMPLIANT
WRK-GOA-00136,Goa,South Goa,South Goa,Lok Sabha,Girish Mishra,Vocational Training Centre Setup Municipal Ward 18,Skill Development,Public Works Division,VEN-GOA-003,Deccan Electricals,2025-05-21,2025-06-15,3476578,3334821,676570,20,365,Stalled,15.485518,74.005741,f29e66e526caa4e6,15.484078,74.005927,Skill Development,2,COMPLIANT
WRK-ARU-00048,Arunachal Pradesh,East Siang,East Siang,Lok Sabha,Anil Mishra,Renovation of Primary Health Sub-Centre Panchayat East,Health Infrastructure,Zilla Parishad Works Department,VEN-ARU-002,Malwa Nirman Udyog,2024-07-25,2024-08-20,2980068,3032628,2143580,75,189,Stalled,28.286264,94.835628,ad20f3743efa9e66,28.286231,94.833993,Health Infrastructure,2,COMPLIANT
WRK-DEL-00644,Delhi,South Delhi,South Delhi,Lok Sabha,Kavita Tripathi,Village Electrification Works Ward 12,Electrification,Public Works Division,VEN-DEL-004,Sri Balaji Electricals,2024-01-09,2024-01-19,922878,964019,0,0,969,Stalled,29.02614,77.122545,2b2293027acb4a34,29.026192,77.121243,Electrification,0,COMPLIANT
WRK-AND-00703,Andhra Pradesh,Guntur,Visakhapatnam,Lok Sabha,Pradeep Tripathi,Drainage Canal Package C,Drainage,Municipal Corporation Engineering Wing,VEN-AND-003,Konkan Builders & Co,2024-02-20,2024-03-07,985470,946051,492735,50,20,In Progress,15.927527,79.937645,44fffc08525193bc,0,0,Drainage,1,TENDER_SPLITTING
WRK-ASS-00054,Assam,Kamrup,Kamrup,Lok Sabha,Neha Bhatt,Vocational Training Centre Setup Colony Block A,Skill Development,Panchayati Raj Engineering Dept,VEN-ASS-002,Purvanchal Nirman Udyog,2024-08-20,2024-08-31,830085,829515,494806,60,298,Stalled,26.499952,92.889845,5e885643220c61e0,26.500056,92.889673,Skill Development,2,COMPLIANT
WRK-SIK-00481,Sikkim,East Sikkim,East Sikkim,Lok Sabha,Kamlesh Naik,Nala Deepening and Widening Ward 4,Drainage,Public Works Division,VEN-SIK-004,Ganga Nirman Udyog,2024-05-16,2024-05-29,3107540,2889152,2777849,90,84,In Progress,27.76298,88.611407,c8e1c38cafd7b3bb,27.762794,88.611264,Drainage,2,COMPLIANT
WRK-BIH-00087,Bihar,Gaya,Gaya,Rajya Sabha,Rekha Singh,Development of Public Ground Colony Block A,Public Amenities,Zilla Parishad Works Department,VEN-BIH-002,Deccan Engineering Works,2023-10-22,2023-11-20,979011,880485,961446,100,0,Completed,25.395394,85.356733,e92a9047a21d7cbd,25.393804,85.358117,Public Amenities,2,COMPLIANT
WRK-MEG-00357,Meghalaya,East Khasi Hills,East Khasi Hills,Lok Sabha,Ravi Naik,Construction of Additional Classrooms Panchayat East,Education Infrastructure,Zilla Parishad Works Department,VEN-MEG-004,Namma Civil Contractors,2025-02-05,2025-02-17,2937628,2979239,2177813,75,144,In Progress,25.620777,91.500263,b6adbeab23b0368a,25.621857,91.499292,Education Infrastructure,2,COMPLIANT
WRK-ASS-00070,Assam,Nagaon,Nagaon,Lok Sabha,Neha Bhatt,Community Sanitation Block Colony Block A,Sanitation,District Rural Development Agency,VEN-ASS-004,Namma Nirman Udyog,2024-05-13,2024-06-05,2952036,3360216,1140225,40,499,Stalled,26.004512,93.300474,0f8d53db0a810580,26.005259,93.300371,Sanitation,2,COMPLIANT
WRK-HIM-00199,Himachal Pradesh,Shimla,Shimla,Lok Sabha,Sanjeev Patel,Installation of RO Drinking Water Unit Ward 4,Drinking Water,Municipal Corporation Engineering Wing,VEN-HIM-002,Nilgiri Electricals,2025-01-13,2025-02-01,638560,643664,616477,100,0,Completed,31.022774,77.164677,b42e985a3422cee2,31.023418,77.163042,Drinking Water,2,COMPLIANT
WRK-WES-00611,West Bengal,Kolkata,Kolkata,Lok Sabha,Anita Chauhan,Establishment of IT Skill Development Centre Sector 7,Skill Development,Zilla Parishad Works Department,VEN-WES-003,Kashi Nirman Udyog,2025-03-26,2025-04-22,2847137,3034369,553371,20,408,Stalled,23.343877,88.192878,a118ef8637f3a5dd,23.342877,88.19167,Skill Development,2,COMPLIANT
WRK-MEG-00354,Meghalaya,East Khasi Hills,East Khasi Hills,Lok Sabha,Ravi Naik,Nala Deepening and Widening Panchayat West,Drainage,Municipal Corporation Engineering Wing,VEN-MEG-003,Ganga Civil Contractors,2024-03-09,2024-03-27,1549056,1420247,1141712,75,226,Stalled,25.379923,91.584721,d429ba551bb65373,25.380919,91.585658,Drainage,2,COMPLIANT
WRK-MAH-00320,Maharashtra,Pune,Pune,Lok Sabha,Sunil Joshi,Panchayat Bhawan Renovation Panchayat East,Community Infrastructure,Municipal Corporation Engineering Wing,VEN-MAH-004,Ganga Construction Pvt Ltd,2023-09-18,2023-10-11,1586979,1534885,1562377,100,0,Completed,20.074441,75.684763,58be8f149783f866,20.075025,75.683125,Community Infrastructure,2,COMPLIANT
WRK-CHH-00117,Chhattisgarh,Bilaspur,Bilaspur,Lok Sabha,Pooja Nair,Construction of Storm Water Drainage Sector 7,Drainage,Panchayati Raj Engineering Dept,VEN-CHH-001,Vindhya Infrastructure Solutions,2023-07-12,2023-08-04,1795248,1685351,1766631,100,0,Completed,20.988674,82.237715,6dffe7f643edb45e,20.990586,82.236347,Drainage,2,COMPLIANT
WRK-PUN-00438,Punjab,Amritsar,Amritsar,Lok Sabha,Pradeep Patel,Renovation of Government Primary School Panchayat East,Education Infrastructure,Zilla Parishad Works Department,VEN-PUN-005,Namma Builders & Co,2024-06-11,2024-06-30,2320358,2684611,2310763,100,0,Completed,31.157832,75.349721,a466f2170c549eeb,31.157484,75.34958,Education Infrastructure,2,COMPLIANT
WRK-RAJ-00459,Rajasthan,Jaipur,Jaipur,Lok Sabha,Girish Bhatt,Panchayat Bhawan Renovation Gram Sabha Zone 2,Community Infrastructure,Panchayati Raj Engineering Dept,VEN-RAJ-006,Purvanchal Nirman Udyog,2024-05-31,2024-06-15,907002,905431,178780,20,657,Stalled,26.727308,74.38152,ecaef045ba6ef359,26.728761,74.379992,Community Infrastructure,2,COMPLIANT
WRK-WES-00624,West Bengal,Howrah,Howrah,Lok Sabha,Anita Chauhan,Installation of RO Drinking Water Unit Sector 7,Drinking Water,Public Works Division,VEN-WES-004,Cauvery Infrastructure Solutions,2023-10-09,2023-10-27,416906,419899,0,0,1053,Stalled,22.799263,88.196542,7c377d3ec572245a,22.797599,88.196268,Drinking Water,0,COMPLIANT
WRK-ARU-00039,Arunachal Pradesh,West Kameng,West Kameng,Lok Sabha,Anil Mishra,Village Electrification Works Panchayat East,Electrification,District Rural Development Agency,VEN-ARU-005,Vindhya Engineering Works,2023-04-11,2023-05-07,964432,1101348,375908,40,736,Stalled,28.424532,94.880287,4611b1009c44de9f,28.425116,94.88025,Electrification,2,COMPLIANT
WRK-JHA-00230,Jharkhand,Dhanbad,Dhanbad,Lok Sabha,Manoj Sharma,Establishment of IT Skill Development Centre Panchayat West,Skill Development,Public Works Division,VEN-JHA-004,Sri Balaji Engineering Works,2025-05-03,2025-06-02,699955,374529,279982,40,282,Stalled,23.649479,85.540627,46a1bea14417727d,23.650646,85.54248,Skill Development,2,SOR_INFLATION
WRK-BIH-00098,Bihar,Muzaffarpur,Muzaffarpur,Lok Sabha,Rekha Singh,Upgradation of Public Park Ward 4,Parks & Recreation,Municipal Corporation Engineering Wing,VEN-BIH-006,Purvanchal Builders & Co,2024-07-04,2024-07-25,1829049,1860337,1790083,100,0,Completed,25.119668,85.231527,837f5cd17febda59,25.120266,85.230525,Parks & Recreation,2,COMPLIANT
WRK-ASS-00061,Assam,Dibrugarh,Dibrugarh,Rajya Sabha,Neha Bhatt,Construction of Additional Classrooms Municipal Ward 18,Education Infrastructure,Panchayati Raj Engineering Dept,VEN-ASS-003,Malwa Electricals,2023-09-16,2023-10-04,4259909,3758999,212995,5,207,Stalled,26.071572,92.629736,f36af91137ac8d12,26.073424,92.628299,Education Infrastructure,2,CAPITAL_DORMANCY
WRK-ODI-00420,Odisha,Cuttack,Cuttack,Lok Sabha,Sunil Gupta,Panchayat Bhawan Renovation Panchayat East,Community Infrastructure,Municipal Corporation Engineering Wing,VEN-ODI-007,Om Sai Construction Pvt Ltd,2025-03-02,2025-03-15,2823590,2543578,547450,20,439,Stalled,21.279531,85.01288,6246cf41b8ae9c6f,21.281443,85.011902,Community Infrastructure,2,COMPLIANT
WRK-TRI-00549,Tripura,West Tripura,West Tripura,Lok Sabha,Rajesh Bhatt,Widening of Internal Road Panchayat West,Roads & Connectivity,Municipal Corporation Engineering Wing,VEN-TRI-002,Vindhya Infra Projects,2025-02-23,2025-03-24,2181677,2054241,2120476,100,0,Completed,23.824001,91.963133,ebd9f2d6ea4a5dc9,23.823148,91.964943,Roads & Connectivity,2,COMPLIANT
WRK-ARU-00031,Arunachal Pradesh,West Kameng,West Kameng,Lok Sabha,Anil Mishra,Village Electrification Works Municipal Ward 18,Electrification,Panchayati Raj Engineering Dept,VEN-ARU-004,Shivalik Waterworks Solutions,2023-06-03,2023-06-19,3702519,3793398,3675996,100,0,Completed,28.430476,94.632105,d7dbadd024d0bd0c,28.4285,94.631512,Electrification,2,COMPLIANT
WRK-TEL-00523,Telangana,Hyderabad,Hyderabad,Rajya Sabha,Geeta Nair,Overhead Water Tank Construction Gram Sabha Zone 2,Drinking Water,Municipal Corporation Engineering Wing,VEN-TEL-002,Nilgiri Waterworks Solutions,2023-10-08,2023-10-24,588428,547388,509973,90,106,In Progress,18.434219,78.946334,ff35ff9202b3d82f,18.434726,78.946832,Drinking Water,2,COMPLIANT
WRK-JHA-00220,Jharkhand,Ranchi,Ranchi,Lok Sabha,Manoj Sharma,Construction of Storm Water Drainage Ward 12,Drainage,District Rural Development Agency,VEN-JHA-003,Konkan Nirman Udyog,2025-03-29,2025-04-28,3119662,3622422,2312985,75,126,In Progress,23.708708,85.355039,07bc2e0b771125bd,23.7069,85.353471,Drainage,2,COMPLIANT
WRK-ARU-00687,Arunachal Pradesh,West Kameng,West Kameng,Lok Sabha,Anil Mishra,Construction of Community Centre Gram Sabha Zone 2 Extension,Community Infrastructure,Panchayati Raj Engineering Dept,VEN-ARU-004,Shivalik Waterworks Solutions,2024-04-05,2024-08-07,3730244,3775850,2051634,55,51,In Progress,28.404353,95.09905,d047e79f085c6219,28.404116,95.101412,Community Infrastructure,2,DUPLICATE_ASSET
WRK-AND-00011,Andhra Pradesh,Guntur,Guntur,Lok Sabha,Kamlesh Mishra,Renovation of Primary Health Sub-Centre Ward 4,Health Infrastructure,Panchayati Raj Engineering Dept,VEN-AND-001,Sri Balaji Civil Contractors,2023-05-03,2023-05-23,599733,597197,442355,75,303,Stalled,15.684289,79.445849,be30a32e64b65737,15.686031,79.446133,Health Infrastructure,2,COMPLIANT
WRK-TAM-00510,Tamil Nadu,Madurai,Madurai,Lok Sabha,Vikram Nair,Construction of CC Road at Ward 9,Roads & Connectivity,Zilla Parishad Works Department,VEN-TAM-004,Cauvery Electricals,2024-02-03,2024-03-03,2742536,2395373,2703116,100,0,Completed,11.360108,78.994679,b2f099cfb2630682,11.360385,78.993687,Roads & Connectivity,2,COMPLIANT
WRK-MIZ-00369,Mizoram,Aizawl,Aizawl,Rajya Sabha,Naveen Deshmukh,Construction of CC Road at Sector 7,Roads & Connectivity,Panchayati Raj Engineering Dept,VEN-MIZ-002,Deccan Builders & Co,2025-03-02,2025-03-27,2154969,2386728,2053041,100,0,Completed,23.055854,92.705272,4bb47140c7ae5825,23.05486,92.705739,Roads & Connectivity,2,COMPLIANT
WRK-ODI-00416,Odisha,Cuttack,Cuttack,Lok Sabha,Sunil Gupta,Construction of Community Hall Municipal Ward 18,Public Amenities,District Rural Development Agency,VEN-ODI-006,Deccan Builders & Co,2023-05-14,2023-06-08,3065174,3580926,2960023,100,0,Completed,20.790083,84.749365,783ce3a93bc54411,20.791903,84.750952,Public Amenities,2,COMPLIANT
WRK-UTT-00599,Uttarakhand,Nainital,Nainital,Lok Sabha,Ashok Naik,Repair of Village Approach Road Panchayat West,Roads & Connectivity,Public Works Division,VEN-UTT-001,Konkan Construction Pvt Ltd,2024-02-04,2024-02-23,2636178,2405897,2596545,100,0,Completed,30.185929,78.984098,c0bed2c8df647d12,30.185571,78.983507,Roads & Connectivity,2,COMPLIANT
WRK-TAM-00513,Tamil Nadu,Madurai,Madurai,Lok Sabha,Vikram Nair,Community Sanitation Block New Township Sector 3,Sanitation,Zilla Parishad Works Department,VEN-TAM-003,Ganga Infrastructure Solutions,2023-08-16,2023-09-03,1702154,1631853,1661376,100,0,Completed,11.509154,78.775337,cf36c2f0085ca5df,11.508308,78.773432,Sanitation,2,COMPLIANT
WRK-ARU-00037,Arunachal Pradesh,West Kameng,West Kameng,Lok Sabha,Anil Mishra,Construction of Community Centre Gram Sabha Zone 2,Community Infrastructure,Panchayati Raj Engineering Dept,VEN-ARU-004,Shivalik Waterworks Solutions,2024-04-05,2024-05-05,3730244,3775850,3624955,100,0,Completed,28.405036,95.100179,d047e79f085c6219,28.404116,95.101412,Community Infrastructure,2,COMPLIANT
WRK-UTT-00589,Uttarakhand,Haridwar,Haridwar,Lok Sabha,Ashok Naik,Upgradation of Public Park Ward 9,Parks & Recreation,Panchayati Raj Engineering Dept,VEN-UTT-005,Sindhudurg Nirman Udyog,2025-01-02,2025-01-27,773324,708550,764288,100,0,Completed,29.914434,79.313327,fd34da58d1d794a1,29.915624,79.314908,Parks & Recreation,2,COMPLIANT
WRK-BIH-00089,Bihar,Gaya,Gaya,Lok Sabha,Rekha Singh,Installation of Solar Street Lighting Sector 7,Electrification,Public Works Division,VEN-BIH-003,Konkan Electricals,2023-07-11,2023-08-10,1855464,1706309,1727705,15,0,In Progress,25.430017,85.291064,b62f4fe8acf41ad5,25.431341,85.292099,Electrification,2,EXPENDITURE_PROGRESS_MISMATCH
WRK-MAN-00347,Manipur,Imphal West,Imphal West,Lok Sabha,Kamlesh Chauhan,Vocational Training Centre Setup Colony Block A,Skill Development,District Rural Development Agency,VEN-MAN-002,Sindhudurg Civil Contractors,2023-10-08,2023-10-31,2416720,2835764,479641,20,840,Stalled,24.4531,93.907683,a07968e317f3cdd9,24.452743,93.907868,Skill Development,2,COMPLIANT
WRK-HAR-00180,Haryana,Faridabad,Faridabad,Lok Sabha,Vikram Reddy,Construction of Community Centre Ward 4,Community Infrastructure,Public Works Division,VEN-HAR-005,Vindhya Civil Contractors,2024-03-20,2024-04-19,4043216,3821428,4033308,100,0,Completed,28.65997,76.211443,3d298420e04e5949,28.661366,76.212352,Community Infrastructure,2,COMPLIANT
WRK-TAM-00505,Tamil Nadu,Coimbatore,Coimbatore,Lok Sabha,Vikram Nair,Construction of CC Road at Panchayat East,Roads & Connectivity,Municipal Corporation Engineering Wing,VEN-TAM-002,Sindhudurg Waterworks Solutions,2024-02-29,2024-03-24,2306178,2333227,2254107,100,0,Completed,10.920935,79.016915,34451cf3e26dc0d8,10.919496,79.018197,Roads & Connectivity,2,COMPLIANT
WRK-ODI-00405,Odisha,Khordha,Khordha,Lok Sabha,Sunil Gupta,Construction of Health Wellness Centre Gram Sabha Zone 2,Health Infrastructure,Zilla Parishad Works Department,VEN-ODI-005,Cauvery Electricals,2023-12-24,2024-01-20,1902891,1741228,0,0,968,Stalled,21.313764,84.723779,a60922e4dfaf71b8,21.313486,84.725439,Health Infrastructure,0,COMPLIANT
WRK-PUN-00441,Punjab,Amritsar,Amritsar,Lok Sabha,Pradeep Patel,Panchayat Bhawan Renovation New Township Sector 3,Community Infrastructure,Municipal Corporation Engineering Wing,VEN-PUN-003,Malwa Nirman Udyog,2024-12-24,2025-01-22,1916707,1813006,759193,40,360,Stalled,30.817208,75.049291,0c6361b857a6bc8c,30.815971,75.050555,Community Infrastructure,2,COMPLIANT
WRK-MIZ-00370,Mizoram,Aizawl,Aizawl,Lok Sabha,Naveen Deshmukh,Construction of CC Road at Municipal Ward 18,Roads & Connectivity,District Rural Development Agency,VEN-MIZ-002,Deccan Builders & Co,2023-04-30,2023-05-25,2176356,2459662,1931435,90,121,In Progress,23.238665,92.798378,7863db8114bf22e0,23.23746,92.799085,Roads & Connectivity,2,COMPLIANT
WRK-AND-00005,Andhra Pradesh,Visakhapatnam,Visakhapatnam,Lok Sabha,Kamlesh Mishra,Village Electrification Works Colony Block A,Electrification,Public Works Division,VEN-AND-001,Sri Balaji Civil Contractors,2023-11-03,2023-12-01,4235663,3975752,3746421,90,102,In Progress,15.829406,80.071638,9cf3b683a41866c3,15.829241,80.070698,Electrification,2,COMPLIANT
WRK-HAR-00186,Haryana,Panipat,Panipat,Lok Sabha,Vikram Reddy,Installation of RO Drinking Water Unit Ward 4,Drinking Water,Panchayati Raj Engineering Dept,VEN-HAR-002,Namma Builders & Co,2025-01-21,2025-02-14,3283021,3694444,1883389,60,231,Stalled,29.412625,75.72611,847e983fa35307b5,29.414322,75.725843,Drinking Water,2,COMPLIANT
WRK-JHA-00234,Jharkhand,Dhanbad,Dhanbad,Lok Sabha,Manoj Sharma,Renovation of Government Primary School New Township Sector 3,Education Infrastructure,Zilla Parishad Works Department,VEN-JHA-002,Purvanchal Engineering Works,2023-07-16,2023-08-07,3150082,3057846,1843186,60,454,Stalled,23.51793,85.663501,36b68fa7794bd12b,23.519594,85.66455,Education Infrastructure,2,COMPLIANT
WRK-RAJ-00457,Rajasthan,Jaipur,Jaipur,Lok Sabha,Girish Bhatt,Community Sanitation Block Panchayat West,Sanitation,District Rural Development Agency,VEN-RAJ-003,Shivalik Engineering Works,2025-02-11,2025-03-11,2783362,3120391,1086605,40,332,Stalled,26.821907,74.080178,1f06680d8e2329f8,26.822236,74.081469,Sanitation,2,COMPLIANT
WRK-PUN-00449,Punjab,Jalandhar,Jalandhar,Lok Sabha,Pradeep Patel,Construction of Storm Water Drainage New Township Sector 3,Drainage,Public Works Division,VEN-PUN-006,Om Sai Waterworks Solutions,2023-05-22,2023-06-15,3604241,3651193,3075383,20,0,In Progress,31.372422,75.428925,760f2e80459b7e56,31.373856,75.427332,Drainage,2,EXPENDITURE_PROGRESS_MISMATCH
WRK-MAN-00334,Manipur,Imphal East,Imphal East,Lok Sabha,Kamlesh Chauhan,Repair of Village Approach Road Gram Sabha Zone 2,Roads & Connectivity,Zilla Parishad Works Department,VEN-MAN-006,Shivalik Infra Projects,2024-09-16,2024-09-29,299248,317238,294565,100,0,Completed,24.73913,93.575961,d45e388840e60986,24.738998,93.574146,Roads & Connectivity,2,COMPLIANT
WRK-CHH-00109,Chhattisgarh,Raipur,Raipur,Lok Sabha,Pooja Nair,Panchayat Bhawan Renovation Municipal Ward 18,Community Infrastructure,Municipal Corporation Engineering Wing,VEN-CHH-005,Nilgiri Construction Pvt Ltd,2024-01-12,2024-02-10,3258860,3153798,3254799,100,0,Completed,21.193823,82.102018,ed5c099e6288cd67,21.193179,82.103774,Community Infrastructure,2,COMPLIANT
WRK-BIH-00097,Bihar,Muzaffarpur,Muzaffarpur,Lok Sabha,Rekha Singh,Construction of Community Centre Panchayat East,Community Infrastructure,Zilla Parishad Works Department,VEN-BIH-001,Om Sai Developers,2025-02-16,2025-03-18,1921601,2003769,1917065,100,0,Completed,24.810324,85.399158,6666c1c357e2baaf,24.811449,85.397297,Roads & Connectivity,2,CATEGORY_DEVIATION
