milestone_id,work_id,stage,captured_at,photo_phash,photo_exif_lat,photo_exif_lon,declared_category
MS000048,WRK00023,before,2021-08-10,a8f7ef5a060edf5b,29.264229,93.563655,Water Supply
MS000049,WRK00024,before,2023-03-30,fbc9f87af668a617,24.650148,84.474459,Community Hall
MS000050,WRK00025,before,2023-11-14,f0b5156bb82c9074,14.552836,76.391312,Drainage Works
MS000051,WRK00025,during,2023-12-07,0e378b07cc535c3e,14.552753,76.391704,Drainage Works
MS000052,WRK00026,before,2021-09-13,6ba25efe311c6eb6,27.546077,95.61287,Health Centre
MS000053,WRK00027,before,2021-01-01,acf5e81e71316269,18.731566,78.033663,Cremation Ground
MS000054,WRK00027,during,2021-02-15,dd926cbfc5583a17,18.731773,78.033329,Cremation Ground
MS000055,WRK00027,after,2021-05-01,29b67b14354e15ec,18.731758,78.033909,Cremation Ground
MS000056,WRK00028,before,2022-11-18,0640be0f25b8fd4b,19.656358,78.184898,Health Centre
MS000057,WRK00029,before,2022-02-03,2d06e8cf3805f907,28.163832,77.142126,Drainage Works
MS000058,WRK00029,during,2022-03-04,bc633d6c6eaf0a90,28.164817,77.141831,Drainage Works
MS000059,WRK00030,before,2021-09-06,d0a444329cd6c852,10.968378,78.546946,Water Supply
MS000060,WRK00030,during,2021-10-21,189ac35daa5f89ca,10.968589,78.547505,Water Supply
MS000061,WRK00030,after,2022-01-04,7208838e7d57ef69,10.968666,78.547452,Water Supply
MS000062,WRK00031,before,2023-08-31,3d3f3799a07295e9,20.860866,86.071345,School Building
MS000063,WRK00031,during,2023-10-15,6c2b5781c1a95ee2,20.861222,86.071638,School Building
MS000064,WRK00031,after,2023-12-29,a174a7856f2190cb,20.860669,86.070756,School Building
MS000065,WRK00032,before,2021-06-15,8ae8905b54b4a482,22.370763,86.67715,Health Centre
MS000066,WRK00032,during,2021-07-30,a5c9cf20396726aa,22.371258,86.676671,Health Centre
MS000067,WRK00032,after,2021-10-13,86fbbcdb7ecd7062,22.371176,86.677245,Health Centre
MS000068,WRK00033,before,2021-02-10,bc10fa52bf5d2fdf,27.465931,93.800239,Cremation Ground
MS000069,WRK00033,during,2021-03-20,7a44bd05cd320878,27.46569,93.801705,Cremation Ground
MS000070,WRK00034,before,2021-03-01,e82c7d7b06e745f9,31.702661,76.133974,Water Supply
MS000071,WRK00034,during,2021-04-09,918b8e184ba4af25,31.70152,76.13322,Water Supply
MS000072,WRK00035,before,2022-01-08,f3821cfdc083b73a,26.854892,79.664372,Bridge Construction
MS000073,WRK00035,during,2022-02-22,69bba3c46cc721f0,26.854963,79.665263,Bridge Construction
MS000074,WRK00035,after,2022-05-08,d01548989187c9a0,26.855192,79.664609,Bridge Construction
MS000075,WRK00036,before,2022-12-18,205004943d114802,31.042236,78.552567,Sports Facility
MS000076,WRK00036,during,2023-01-12,a95d3271bd9277a4,31.041797,78.553858,Sports Facility
MS000077,WRK00037,before,2021-08-23,ad66a1bd93676a02,27.387599,83.839758,Community Hall
MS000078,WRK00038,before,2022-05-13,8861fe1858e25888,29.136474,83.150994,Cremation Ground
MS000079,WRK00038,during,2022-06-28,b95e44e3965349ee,29.135867,83.151607,Cremation Ground
MS000080,WRK00039,before,2021-08-05,eb6c1016cee624d0,20.910408,71.438818,Drainage Works
MS000081,WRK00040,before,2021-06-27,7cd0129d2e8d0e87,31.505236,74.843456,Health Centre
MS000082,WRK00041,before,2023-11-25,7da67785b63b4dc3,10.73787,79.383831,Water Supply
MS000083,WRK00041,during,2024-01-09,fb708dd7bf3d5023,10.73847,79.384836,Water Supply
MS000084,WRK00041,after,2024-03-24,6f0d72291b387c72,10.738369,79.383569,Water Supply
MS000085,WRK00042,before,2023-01-26,405bfdc94e7ed827,24.636514,87.242669,Water Supply
MS000086,WRK00042,during,2023-02-22,b11a369675cd3e5c,24.637078,87.242672,Water Supply
MS000087,WRK00043,before,2023-09-19,88bd13d1b540b30e,25.1333,72.67544,School Building
MS000088,WRK00043,during,2023-11-16,f952f1e8d029733c,25.133143,72.676056,School Building
MS000089,WRK00044,before,2023-10-03,d2762bdc1d34d08e,19.436054,87.289803,Bridge Construction
MS000090,WRK00045,before,2022-09-15,7354ea6f61607459,11.374553,79.520506,Bridge Construction
MS000091,WRK00046,before,2021-07-23,2812859a1337739e,28.514718,92.426131,Cremation Ground
MS000092,WRK00046,during,2021-09-06,04110e35d0e34b2b,28.515524,92.426127,Cremation Ground
MS000093,WRK00046,after,2021-11-20,3590103906dd5e19,28.515215,92.426057,Cremation Ground
MS000094,WRK00047,before,2022-08-03,ef04e57dcdccc33a,31.093293,78.390816,Road Construction
MS000095,WRK00048,before,2021-12-06,7e695d0d8a3c3b5e,25.425021,88.668591,Bridge Construction
MS000096,WRK00048,during,2022-01-29,25ee2f0f76a30eb0,25.425428,88.668147,Bridge Construction
MS000097,WRK00049,before,2021-07-07,a6c9537f84dad06a,28.270636,96.001776,Library Building
MS000098,WRK00050,before,2023-04-17,746f78910964fbbf,27.794438,94.423221,Road Construction
MS000099,WRK00050,during,2023-06-04,73137fa5dc1b9eb1,27.793893,94.422782,Road Construction
MS000100,WRK00051,before,2021-04-22,e17f29e170286046,24.30176,91.382283,Sports Facility
MS000101,WRK00051,during,2021-06-17,02040c8155773297,24.300715,91.383002,Sports Facility
MS000102,WRK00052,before,2021-01-29,b77350caeec259dc,29.946598,78.01171,School Building
MS000103,WRK00052,during,2021-03-17,9423251ebcb12a00,29.946047,78.011222,School Building
MS000104,WRK00053,before,2021-10-24,ca3dd859c5ce099c,32.538577,76.164107,Water Supply
MS000105,WRK00053,during,2021-12-08,836b47c37c711cc8,32.539009,76.164318,Water Supply
MS000106,WRK00053,after,2022-02-21,e7b2df91adbd2e33,32.539333,76.164107,Water Supply
MS000107,WRK00054,before,2022-09-04,749176f46090d697,18.008221,78.787452,Road Construction
MS000108,WRK00054,during,2022-09-27,8da22a3950db8e34,18.007553,78.788164,Road Construction
MS000109,WRK00055,before,2023-04-22,097a1e10f6febc0e,23.673577,89.851896,Drainage Works
MS000110,WRK00055,during,2023-06-07,f05ff9c39f690cde,23.673228,89.852416,Drainage Works
MS000111,WRK00056,before,2023-07-25,b15516bc9f8ded97,24.110712,73.631183,Bridge Construction
MS000112,WRK00056,during,2023-09-10,7820242631341ab8,24.111177,73.631095,Bridge Construction
MS000113,WRK00057,before,2023-09-27,6f18c1081723199d,20.82917,87.018297,Health Centre
MS000114,WRK00057,during,2023-11-11,ebf6dd3256d2bb12,20.82972,87.018195,Health Centre
MS000115,WRK00057,after,2024-01-25,77ed78d9a82e6889,20.829043,87.01735,Health Centre
MS000116,WRK00058,before,2021-03-01,cae28e66ae8a7813,26.101606,71.64947,School Building
MS000117,WRK00058,during,2021-04-14,a70a409dac50c260,26.101282,71.649411,School Building
MS000118,WRK00059,before,2021-10-21,287117338beddb12,24.136825,94.768845,Anganwadi Centre
MS000119,WRK00059,during,2021-11-20,1610ac0abfcf214e,24.13689,94.768604,Anganwadi Centre
MS000120,WRK00060,before,2022-09-11,d47d577bfa5a91ca,27.117411,74.558516,Water Supply
MS000121,WRK00061,before,2022-08-10,ad81f8bd402913ec,11.377577,77.679625,Anganwadi Centre
MS000122,WRK00062,before,2023-06-22,8a16a06cc958e75e,23.362017,87.503108,Road Construction
MS000123,WRK00062,during,2023-08-12,ffcf956e0c0b6cd1,23.361606,87.504159,Road Construction
MS000124,WRK00063,before,2023-09-14,aca5e2fdb966442a,13.299878,76.790699,Water Supply
MS000125,WRK00063,during,2023-10-26,e4fb2a3bdc05ae03,13.299629,76.791632,Water Supply
MS000126,WRK00064,before,2021-01-29,3bdbc09eacc216a0,21.027136,84.965998,Road Construction
MS000127,WRK00064,during,2021-03-11,8fde042a1ee56930,21.026839,84.965444,Road Construction
MS000128,WRK00065,before,2023-08-09,3c1bdacc18e19331,24.453212,70.048358,Water Supply
MS000129,WRK00065,during,2023-09-19,e0b1d762c524f047,24.452885,70.048559,Water Supply
MS000130,WRK00066,before,2021-11-13,71d7966571818dcf,18.160801,74.149896,Cremation Ground
MS000131,WRK00066,during,2022-01-04,ed37c2ce0ce87570,18.161292,74.150947,Cremation Ground
MS000132,WRK00067,before,2022-01-24,5560db22c96b5edb,15.992596,76.747253,Road Construction
MS000133,WRK00068,before,2022-03-19,402adf9c8a4b8f7c,23.918836,83.624059,Sports Facility
MS000134,WRK00068,during,2022-04-14,f287b989dbbf46ed,23.917859,83.623985,Sports Facility
MS000135,WRK00069,before,2022-05-03,c72c1fe372c22a16,19.604711,76.966708,Road Construction
MS000136,WRK00069,during,2022-06-24,34943114def14d58,19.605869,76.965987,Road Construction
MS000137,WRK00070,before,2023-12-04,e8e22743b65feea9,19.274223,79.161258,Library Building
MS000138,WRK00070,during,2024-01-11,bb88854e7f968d71,19.274457,79.160333,Library Building
MS000139,WRK00071,before,2022-10-28,e0b15abaa6a27967,30.334456,77.947656,Road Construction
MS000140,WRK00072,before,2023-07-18,79699ed2ec48bf55,28.529314,93.708276,Water Supply
MS000141,WRK00072,during,2023-08-14,c4eb8e5d6a6e94cf,28.5292,93.707959,Water Supply
MS000142,WRK00073,before,2021-05-03,f7e8f8e50d2b91ef,27.791789,96.654025,Community Hall
MS000143,WRK00074,before,2022-04-05,accb461a9d132363,31.221828,76.301993,Bridge Construction
MS000144,WRK00074,during,2022-05-27,c13d8929b717548d,31.222178,76.302604,Bridge Construction
MS000145,WRK00075,before,2022-09-25,87cdb6a1bf012e32,11.64916,76.492631,School Building
MS000146,WRK00075,during,2022-10-30,c986f8936bf5fc98,11.64927,76.492702,School Building
MS000147,WRK00076,before,2021-06-23,7c54535f6c8c3b6a,15.868593,73.276991,Health Centre
MS000148,WRK00076,during,2021-08-07,f3abd2467570d730,15.869223,73.277567,Health Centre
MS000149,WRK00076,after,2021-10-21,f198f62e5c9d3ead,15.868041,73.276597,Health Centre
MS000150,WRK00077,before,2022-08-04,345512f701f7c7ec,15.986524,79.018238,Community Hall
MS000151,WRK00077,during,2022-08-24,15b4066e11d012a7,15.985979,79.018065,Community Hall
MS000152,WRK00078,before,2023-10-16,dc9c96de65a674c2,9.342503,78.546484,Health Centre
MS000153,WRK00078,during,2023-11-15,a9014e33097ef98d,9.343205,78.546131,Health Centre
MS000154,WRK00079,before,2023-04-09,b08a4895d4ffa666,30.179662,78.406455,Cremation Ground
MS000155,WRK00079,during,2023-06-04,cc8fe6ceb69f627c,30.180528,78.406269,Cremation Ground
MS000156,WRK00080,before,2023-12-10,87d5b7be1d30d990,25.397978,70.980182,Drainage Works
MS000157,WRK00080,during,2024-01-17,8db969afb366ffd1,25.398631,70.979921,Drainage Works
MS000158,WRK00081,before,2022-06-09,9050f7efc1235c91,16.813799,74.346391,Water Supply
MS000159,WRK00081,during,2022-07-24,479fb5f3d3b68150,16.814642,74.346791,Water Supply
MS000160,WRK00081,after,2022-10-07,b34689992598bc54,16.813929,74.346841,Water Supply
MS000161,WRK00082,before,2021-05-20,09a0a0f673b0a091,29.668695,75.372939,Health Centre
MS000162,WRK00082,during,2021-07-13,b28d750671305648,29.668294,75.37326,Health Centre
MS000163,WRK00083,before,2023-08-06,269ed4c980599b93,27.616164,78.531238,Library Building
MS000164,WRK00083,during,2023-09-20,0976e09f15936f42,27.615822,78.530442,Library Building
MS000165,WRK00084,before,2021-03-22,c643530068a51c68,20.830262,70.486316,Boundary Wall
MS000166,WRK00084,during,2021-04-19,17c305fc36b74e27,20.83025,70.485964,Boundary Wall
MS000167,WRK00085,before,2023-03-03,952e6abb14dd5061,24.536057,71.957499,Health Centre
MS000168,WRK00085,during,2023-04-17,0723e11e05fef7bc,24.536847,71.957348,Health Centre
MS000169,WRK00085,after,2023-07-01,3dc8719c4239850b,24.536764,71.956975,Health Centre
MS000170,WRK00086,before,2021-06-23,aba301cba561e1e9,26.84174,95.666156,Library Building
MS000171,WRK00086,during,2021-08-09,d77203300f589a93,26.840857,95.666989,Library Building
MS000172,WRK00087,before,2023-09-23,8a2e6a93c5580bb2,23.55538,76.930261,School Building
MS000173,WRK00087,during,2023-11-07,f0fbdb65a6a5790a,23.55505,76.930653,School Building
MS000174,WRK00087,after,2024-01-21,0155aa51bca2c581,23.555522,76.931727,School Building
MS000175,WRK00088,before,2021-11-12,5d42b9e9692e07b6,22.974245,73.877761,Bridge Construction
MS000176,WRK00088,during,2021-12-27,b6f31d0290cafac3,22.974373,73.877197,Bridge Construction
MS000177,WRK00088,after,2022-03-12,d830dffe88859ae5,22.973943,73.876764,Bridge Construction
MS000178,WRK00089,before,2022-05-05,61c2645ac7332304,31.256941,81.046018,Street Lighting
MS000179,WRK00090,before,2021-04-17,c35b9fea1578d709,28.524354,81.021262,Bridge Construction
MS000180,WRK00090,during,2021-06-12,bccd9b8c8508df91,28.523743,81.020629,Bridge Construction
MS000181,WRK00091,before,2022-03-31,07374c86397b5f51,24.361559,86.767199,Road Construction
MS000182,WRK00092,before,2023-08-26,144823f7e7e646c7,23.59047,71.101674,Bridge Construction
MS000183,WRK00093,before,2022-05-02,e7b7b4c6d6312a80,20.867272,85.199649,Bridge Construction
MS000184,WRK00093,during,2022-06-16,179d9ae314fa7d50,20.866339,85.199742,Bridge Construction
MS000185,WRK00093,after,2022-08-30,36fc1c4679ebb8bb,20.866891,85.198943,Bridge Construction
MS000186,WRK00094,before,2021-01-04,81e03a5e8b48f496,16.150877,81.683499,Bridge Construction
MS000187,WRK00094,during,2021-02-26,651076d6c7610e83,16.151552,81.683537,Bridge Construction
MS000188,WRK00095,before,2023-02-04,c1b5b5cabc3536df,25.040281,93.839663,Road Construction
MS000189,WRK00095,during,2023-04-05,f2a45575ee585967,25.040376,93.840509,Road Construction
MS000190,WRK00096,before,2023-09-08,0b36e356339b77a8,23.394272,74.138516,Street Lighting
MS000191,WRK00096,during,2023-10-23,7c198515208b326a,23.39411,74.138493,Street Lighting
MS000192,WRK00096,after,2024-01-06,83601fb5b45bbad3,23.394329,74.138475,Street Lighting
MS000193,WRK00097,before,2023-08-28,45f1861954f90429,25.059585,77.086777,Drainage Works
MS000194,WRK00097,during,2023-10-12,2826a561bf1a61d7,25.060636,77.086612,Drainage Works
MS000195,WRK00097,after,2023-12-26,1e6773d7f3aa972b,25.060144,77.086674,Drainage Works
MS000196,WRK00098,before,2022-01-18,9a3a61036e3c4532,25.140024,90.220118,Drainage Works
MS000197,WRK00098,during,2022-02-14,273ef6f485d4bf0f,25.139662,90.220142,Drainage Works
MS000198,WRK00099,before,2022-08-29,6f5842c3ff86cc31,21.716833,68.371051,Road Construction
MS000199,WRK00099,during,2022-10-11,249316b4ca8c5366,21.716602,68.371212,Road Construction
MS000200,WRK00100,before,2021-11-24,a52964ffc74cc890,28.977879,77.36512,Community Hall
MS000201,WRK00100,during,2022-01-08,48924bd6e39940dd,28.978119,77.364996,Community Hall
MS000202,WRK00100,after,2022-03-24,0088b13a7d2194cb,28.977985,77.364223,Community Hall
MS000203,WRK00101,before,2023-01-30,1d0af7f7f5e4a471,10.081412,77.520526,Bridge Construction
MS000204,WRK00101,during,2023-02-21,73cecf7c90d5e87e,10.082105,77.52083,Bridge Construction
MS000205,WRK00102,before,2023-07-03,e60fd4202c33350c,26.015645,90.472968,Water Supply
MS000206,WRK00103,before,2022-08-18,7e7838c9ca55e38b,20.658419,69.386676,Road Construction
MS000207,WRK00104,before,2021-05-15,12fc7a87a4704d48,25.610383,86.17492,Library Building
MS000208,WRK00104,during,2021-07-06,72f68fe1aacefa98,25.609682,86.174866,Library Building
MS000209,WRK00105,before,2021-09-22,5894f7f139b86bb2,22.372619,86.47535,Cremation Ground
MS000210,WRK00105,during,2021-10-17,6321d75368dd66fd,22.371804,86.474931,Cremation Ground
MS000211,WRK00106,before,2022-07-17,b87b63849fddde2e,27.746102,81.51319,School Building
MS000212,WRK00106,during,2022-09-09,bc64c7e9716ec0b6,27.746435,81.512245,School Building
MS000213,WRK00107,before,2022-06-27,f4e7069aa4540937,31.353844,73.893086,Road Construction
MS000214,WRK00107,during,2022-08-11,cbd10fdca14ed649,31.354715,73.893564,Road Construction
MS000215,WRK00107,after,2022-10-25,1fb026cca5292f56,31.354532,73.893188,Road Construction
MS000216,WRK00108,before,2021-05-03,dc5be7d1fcef1972,26.466035,91.669684,Street Lighting
MS000217,WRK00108,during,2021-07-01,91fb8925f5112438,26.466006,91.669672,Street Lighting
MS000218,WRK00109,before,2021-09-08,dd84caccf6729464,18.118264,77.97458,Health Centre
MS000219,WRK00109,during,2021-10-30,8827f0b5efa99c7e,18.117234,77.974427,Health Centre
MS000220,WRK00110,before,2023-10-18,5a57553995560a2d,32.335332,75.367228,School Building
MS000221,WRK00110,during,2023-11-20,945d91a5e33d6982,32.335618,75.3674,School Building
MS000222,WRK00111,before,2021-08-09,91fdfa4f0d18ab95,31.397487,77.070899,Sports Facility
MS000223,WRK00111,during,2021-09-23,7dd12d570b840c50,31.397853,77.070261,Sports Facility
MS000224,WRK00111,after,2021-12-07,2e35c5c86fe05fa2,31.397211,77.07167,Sports Facility
MS000225,WRK00112,before,2022-07-27,5d986115f05eeefe,26.460204,83.140562,Boundary Wall
MS000226,WRK00112,during,2022-09-05,196dedc0fad34352,26.460434,83.140874,Boundary Wall
MS000227,WRK00113,before,2022-11-14,fd98fe336498abe9,24.644795,95.566974,Road Construction
MS000228,WRK00113,during,2022-12-15,f3c1114d4e8a10cb,24.645013,95.5671,Road Construction
MS000229,WRK00114,before,2022-09-06,cbf81f864ec3f970,21.794611,72.412091,Boundary Wall
MS000230,WRK00115,before,2022-04-12,ae441e21d25864f2,18.430175,78.585149,Anganwadi Centre
MS000231,WRK00115,during,2022-05-27,19474d1a63d316c1,18.430596,78.585686,Anganwadi Centre
MS000232,WRK00115,after,2022-08-10,4207fb5152ffeff5,18.430676,78.586315,Anganwadi Centre
MS000233,WRK00116,before,2023-05-08,84c86c4623595fa4,27.401998,73.649706,Road Construction
MS000234,WRK00116,during,2023-06-04,9606006a98d54b7e,27.402263,73.650142,Road Construction
MS000235,WRK00117,before,2021-12-21,313839757bf33a34,32.615975,78.151911,Drainage Works
MS000236,WRK00118,before,2023-09-29,c5e78b23f4613f09,25.356115,87.35669,Health Centre
MS000237,WRK00118,during,2023-11-05,10c1de9c683629ce,25.356724,87.356599,Health Centre
MS000238,WRK00119,before,2023-09-09,bdab07e79d9d028e,29.964273,82.391543,Street Lighting
MS000239,WRK00119,during,2023-10-24,8dd7e05244e7a702,29.965322,82.391192,Street Lighting
MS000240,WRK00119,after,2024-01-07,c3528ba43f0e924b,29.964735,82.391375,Street Lighting
MS000241,WRK00120,before,2023-04-27,ef5e4376a723fb72,15.821342,79.731541,Water Supply
MS000242,WRK00120,during,2023-06-05,a2c3b917d8a5aa52,15.821245,79.732045,Water Supply
MS000243,WRK00121,before,2021-05-02,e1dace6a6afa828c,27.377976,82.595759,Health Centre
MS000244,WRK00121,during,2021-06-16,c832b3f02b0e63fd,27.378124,82.596427,Health Centre
MS000245,WRK00121,after,2021-08-30,e957967af61b2bfd,27.378569,82.594952,Health Centre
MS000246,WRK00122,before,2022-08-16,a42d0cd7fd359f6a,24.518922,95.893589,School Building
MS000247,WRK00122,during,2022-09-30,4a0c408d9ee827fa,24.518693,95.892336,School Building
MS000248,WRK00122,after,2022-12-14,eefa4d760f67a174,24.519079,95.892503,School Building
MS000249,WRK00123,before,2021-08-19,aca58d95915a1c30,16.854428,78.056786,Water Supply
MS000250,WRK00123,during,2021-10-03,59f6864dffce50b3,16.855278,78.056085,Water Supply
MS000251,WRK00123,after,2021-12-17,82a4e22ed7371450,16.854472,78.056008,Water Supply
MS000252,WRK00124,before,2023-04-01,3c4b1eec6231ee73,25.96212,95.595012,Boundary Wall
MS000253,WRK00124,during,2023-05-16,6532b3ae16f791ac,25.962356,95.596228,Boundary Wall
MS000254,WRK00124,after,2023-07-30,8e7569bcb99e6f7b,25.962788,95.596305,Boundary Wall
MS000255,WRK00125,before,2023-01-07,4f9c4027c5144d98,26.350428,70.905516,Cremation Ground
MS000256,WRK00125,during,2023-02-21,517c5deccd539417,26.351396,70.906222,Cremation Ground
MS000257,WRK00125,after,2023-05-07,42e88605a29a7e5f,26.351533,70.905841,Cremation Ground
MS000258,WRK00126,before,2023-09-07,c1369c65ae2ae341,17.889213,77.484542,Water Supply
MS000259,WRK00126,during,2023-10-14,35eb728f57750d0f,17.88952,77.483962,Water Supply
MS000260,WRK00127,before,2021-08-18,53ff84612a1f1b61,27.188546,84.311094,Road Construction
MS000261,WRK00128,before,2023-11-12,8f0d55400ec7d662,26.84752,80.999882,Anganwadi Centre
MS000262,WRK00129,before,2022-03-23,ef0bea4ffc737d92,19.382044,77.092269,Water Supply
MS000263,WRK00129,during,2022-05-07,2c6cdb5aac367cb9,19.381953,77.092259,Water Supply
MS000264,WRK00129,after,2022-07-21,7d2d93e8b40b7288,19.382455,77.091715,Water Supply
MS000265,WRK00130,before,2023-02-23,59077299dc3bbdd8,26.996036,89.385911,Community Hall
MS000266,WRK00131,before,2021-02-16,effa20023040413c,16.741679,79.319465,Water Supply
MS000267,WRK00131,during,2021-03-12,abeed5b2d0e915d4,16.741544,79.318311,Water Supply
MS000268,WRK00132,before,2021-07-26,3bfda8a6705fddf5,28.640208,91.786988,Water Supply
MS000269,WRK00132,during,2021-09-09,5ba3a49c99ef827f,28.639367,91.787745,Water Supply
MS000270,WRK00132,after,2021-11-23,b2709103cfd6b161,28.640225,91.786575,Water Supply
MS000271,WRK00133,before,2022-04-25,46707cd64ceda164,8.874233,78.972811,Boundary Wall
MS000272,WRK00133,during,2022-06-07,be3eb6f738b595b9,8.872916,78.972574,Boundary Wall
MS000273,WRK00134,before,2022-12-07,d96e684f3db0174e,16.405332,75.725094,Sports Facility
MS000274,WRK00134,during,2023-01-18,4d9d1bb1a00f80d4,16.406218,75.724202,Sports Facility
MS000275,WRK00135,before,2023-05-04,891f691217abb863,25.357514,83.694615,Sports Facility
MS000276,WRK00135,during,2023-06-24,e78dcf327e2a9f73,25.357135,83.695521,Sports Facility
MS000277,WRK00136,before,2022-03-21,bdd151b0f64ab6ec,25.281725,95.427433,Road Construction
MS000278,WRK00136,during,2022-05-05,6565e779a3708c7f,25.281874,95.426309,Road Construction
MS000279,WRK00136,after,2022-07-19,7e7786aa80155756,25.281959,95.426176,Road Construction
MS000280,WRK00137,before,2022-05-06,7f4d908ce1fff6c0,25.197959,87.064695,School Building
MS000281,WRK00137,during,2022-07-01,10bb794e2cef7557,25.197839,87.064922,School Building
MS000282,WRK00138,before,2023-04-28,4b91b8cb6ae66582,31.081977,78.878295,School Building
MS000283,WRK00138,during,2023-05-26,e1896b253a5bece9,31.082355,78.878652,School Building
MS000284,WRK00139,before,2022-11-23,bb96f6022b115c36,30.96542,76.043328,Anganwadi Centre
MS000285,WRK00140,before,2021-05-01,d7b102a92332a50e,22.33761,85.476415,School Building
MS000286,WRK00140,during,2021-06-15,9d4d0658886edae8,22.336548,85.476208,School Building
MS000287,WRK00140,after,2021-08-29,00801ed9743480a1,22.337532,85.476334,School Building
MS000288,WRK00141,before,2021-05-04,b8e19f568787ea21,15.636216,77.178378,Boundary Wall
